bulan,wilayah,bap_tilang,stop_operasi,bap_polisi,stop_operasi_polisi,penderekan,ocp_roda_dua,ocp_roda_empat,angkut_motor
Januari,Bidang Dalops,44,139,0,0,73,0,0,0
Januari,Sudinhub Jakarta Pusat,47,2,52,0,184,237,15,97
Januari,Sudinhub Jakarta Utara,166,27,0,0,174,0,0,0
Januari,Sudinhub Jakarta Selatan,44,1,0,0,61,42,75,0
Januari,Sudinhub Jakarta Barat,184,70,0,0,202,10,5,0
Januari,Sudinhub Jakarta Timur,191,141,0,0,137,0,0,0
Februari,Bidang Dalops,37,143,0,0,95,2,1,0
Februari,Sudinhub Jakarta Pusat,48,7,42,0,175,396,21,143
Februari,Sudinhub Jakarta Utara,251,27,31,0,255,3,0,0
Februari,Sudinhub Jakarta Selatan,129,12,0,0,155,446,110,0
Februari,Sudinhub Jakarta Barat,229,60,0,0,245,12,4,0
Februari,Sudinhub Jakarta Timur,276,146,0,0,299,0,0,0
Maret,Bidang Dalops,90,203,0,0,150,18,2,0
Maret,Sudinhub Jakarta Pusat,68,10,0,0,146,216,1,58
Maret,Sudinhub Jakarta Utara,323,37,0,0,285,0,0,0
Maret,Sudinhub Jakarta Selatan,479,51,0,0,325,221,87,0
Maret,Sudinhub Jakarta Barat,270,101,0,0,318,20,11,0
Maret,Sudinhub Jakarta Timur,253,129,0,0,291,22,0,0
April,Bidang Dalops,78,108,0,0,139,0,2,0
April,Sudinhub Jakarta Pusat,93,21,0,0,166,99,5,117
April,Sudinhub Jakarta Utara,293,22,12,0,165,0,0,0
April,Sudinhub Jakarta Selatan,454,42,0,0,261,423,64,0
April,Sudinhub Jakarta Barat,233,97,0,0,252,0,1,0
April,Sudinhub Jakarta Timur,274,113,0,0,264,0,0,0
Mei,Bidang Dalops,47,88,0,0,57,0,0,0
Mei,Sudinhub Jakarta Pusat,30,10,0,0,46,447,72,244
Mei,Sudinhub Jakarta Utara,174,10,16,0,149,0,0,0
Mei,Sudinhub Jakarta Selatan,203,29,2,0,169,272,28,0
Mei,Sudinhub Jakarta Barat,156,82,0,0,107,0,0,0
Mei,Sudinhub Jakarta Timur,162,107,0,0,157,0,0,0
Juni,Bidang Dalops,113,129,0,0,119,7,2,0
Juni,Sudinhub Jakarta Pusat,24,9,0,0,90,806,8,414
Juni,Sudinhub Jakarta Utara,365,29,39,0,206,0,0,0
Juni,Sudinhub Jakarta Selatan,390,22,16,0,188,277,51,0
Juni,Sudinhub Jakarta Barat,176,81,0,0,157,62,6,0
Juni,Sudinhub Jakarta Timur,217,116,0,0,203,0,0,0
Juli,Bidang Dalops,72,80,0,0,38,0,0,0
Juli,Sudinhub Jakarta Pusat,12,6,0,0,11,146,3,0
Juli,Sudinhub Jakarta Utara,224,20,24,0,54,0,0,19
Juli,Sudinhub Jakarta Selatan,95,2,8,0,25,160,6,0
Juli,Sudinhub Jakarta Barat,36,32,0,0,29,0,0,0
Juli,Sudinhub Jakarta Timur,104,72,0,0,110,0,0,0
